Animal_ID,Site,Date,Side,Sex
FL100,MYW98,3/10/2021,both,F
FL100,MYW97,7/10/2021,both,F
FL100,MYW99,7/10/2021,both,F
FL100,MYW99,25/10/2021,both,F
FL102,MYW16,22/11/2021,both,F
FL102,MYW14,23/11/2021,both,F
FL102,MYW16,21/12/2021,both,F
FL104,MYW23,20/11/2021,both,F
FL108,MYW47,17/9/2021,right,F
FL110,MYW20,11/12/2021,right,F
FL21,MYW28,23/11/2021,both,F
FL22,MYW23,1/12/2021,both,F
FL22,MYW23,2/12/2021,both,F
FL22,MYW24,3/12/2021,both,F
FL22,MYW24,9/12/2021,both,F
FL22,MYW24,13/12/2021,both,F
FL22,MYW24,25/12/2021,both,F
FL22,MYW25,26/12/2021,both,F
FL22,MYW24,29/12/2021,both,F
FL26,MYW48,23/9/2021,both,F
FL26,MYW48,6/10/2021,both,F
FL26,MYW47,6/10/2021,both,F
FL26,MYW47,18/10/2021,both,F
FL26,MYW47,20/10/2021,both,F
FL26,MYW47,25/10/2021,both,F
FL26,MYW47,27/10/2021,both,F
FL26,MYW47,28/10/2021,both,F
FL26,MYW47,29/10/2021,both,F
FL26,MYW47,30/10/2021,both,F
FL26,MYW46,19/11/2021,both,F
FL26,MYW33,22/11/2021,both,F
FL26,MYW33,23/11/2021,both,F
FL26,MYW46,18/12/2021,both,F
FL26,MYW33,21/12/2021,both,F
FL28,MYW36,8/12/2021,both,F
FL31,MYW35,19/11/2021,both,F
FL31,MYW32,24/11/2021,both,F
FL31,MYW35,1/12/2021,both,F
FL31,MYW32,17/12/2021,both,F
FL31,MYW36,21/12/2021,both,F
FL31,MYW36,22/12/2021,both,F
FL33,MYW57,18/9/2021,both,F
FL33,MYW58,19/9/2021,both,F
FL33,MYW59,24/9/2021,both,F
FL33,MYW53,24/9/2021,both,F
FL33,MYW55,25/9/2021,both,F
FL33,MYW53,28/9/2021,both,F
FL33,MYW52,20/10/2021,both,F
FL33,MYW53,1/11/2021,both,F
FL33,MYW53,3/11/2021,both,F
FL34,MYW76,2/10/2021,both,F
FL34,MYW76,25/10/2021,both,F
FL34,MYW61,28/10/2021,both,F
FL35,MYW63,30/9/2021,both,F
FL35,MYW75,30/9/2021,both,F
FL35,MYW62,8/10/2021,both,F
FL35,MYW63,8/10/2021,both,F
FL35,MYW63,9/10/2021,both,F
FL35,MYW63,10/10/2021,both,F
FL35,MYW62,10/10/2021,both,F
FL35,MYW74,17/10/2021,both,F
FL35,MYW63,28/10/2021,both,F
FL35,MYW75,30/10/2021,both,F
FL35,MYW62,31/10/2021,both,F
FL35,MYW63,31/10/2021,both,F
FL35,MYW63,5/11/2021,both,F
FL37,MYW67,22/9/2021,both,F
FL37,MYW70,24/9/2021,both,F
FL37,MYW68,27/9/2021,both,F
FL37,MYW70,5/10/2021,both,F
FL37,MYW68,9/10/2021,both,F
FL37,MYW67,29/10/2021,both,F
FL37,MYW68,4/11/2021,both,F
FL59,MYW89,4/10/2021,both,F
FL59,MYW94,24/10/2021,both,F
FL74,MYW42,25/11/2021,both,F
FL75,MYW24,17/11/2021,both,F
FL75,MYW26,18/11/2021,both,F
FL75,MYW21,25/11/2021,both,F
FL75,MYW26,2/12/2021,both,F
FL77,MYW08,26/11/2021,both,F
FL77,MYW06,8/12/2021,both,F
FL77,MYW18,24/12/2021,both,F
FL77,MYW20,31/12/2021,both,F
FL82,MYW50,2/10/2021,both,F
FL82,MYW51,2/10/2021,both,F
FL82,MYW50,5/10/2021,both,F
FL82,MYW50,6/10/2021,both,F
FL82,MYW51,6/10/2021,both,F
FL82,MYW50,9/10/2021,both,F
FL82,MYW51,9/10/2021,both,F
FL82,MYW53,10/10/2021,both,F
FL82,MYW50,16/10/2021,both,F
FL82,MYW53,24/10/2021,both,F
FL82,MYW51,25/10/2021,both,F
FL82,MYW50,25/10/2021,both,F
FL82,MYW50,26/10/2021,both,F
FL82,MYW51,31/10/2021,both,F
FL83,MYW63,27/9/2021,both,F
FL83,MYW62,27/9/2021,both,F
FL83,MYW63,1/10/2021,both,F
FL83,MYW63,11/10/2021,both,F
FL83,MYW63,15/10/2021,both,F
FL83,MYW63,28/10/2021,both,F
FL90,MYW47,30/9/2021,both,F
FL90,MYW48,7/10/2021,both,F
FL90,MYW47,7/10/2021,both,F
FL90,MYW48,18/10/2021,both,F
FL98,MYW80,21/10/2021,both,F
FL98,MYW81,29/10/2021,both,F
ML101,MYW30,25/11/2021,both,M
ML101,MYW30,29/11/2021,both,M
ML101,MYW39,30/11/2021,both,M
ML101,MYW37,30/11/2021,both,M
ML101,MYW38,30/11/2021,both,M
ML101,MYW39,9/12/2021,both,M
ML101,MYW30,11/12/2021,both,M
ML101,MYW30,17/12/2021,both,M
ML101,MYW40,18/12/2021,both,M
ML101,MYW39,18/12/2021,both,M
ML101,MYW38,20/12/2021,both,M
ML101,MYW30,28/12/2021,both,M
ML101,MYW37,20/12/2021,both,M
ML101,MYW30,4/1/2022,both,M
ML106,MYW68,8/10/2021,left,M
ML106,MYW68,3/11/2021,left,M
ML61,MYW18,19/11/2021,both,M
ML61,MYW19,19/11/2021,both,M
ML61,MYW20,19/11/2021,both,M
ML61,MYW30,19/11/2021,both,M
ML61,MYW24,25/11/2021,both,M
ML61,MYW16,28/11/2021,both,M
ML61,MYW28,2/12/2021,both,M
ML61,MYW18,4/12/2021,both,M
ML61,MYW21,5/12/2021,both,M
ML61,MYW22,6/12/2021,both,M
ML61,MYW21,17/12/2021,both,M
ML61,MYW20,17/12/2021,both,M
ML61,MYW18,18/12/2021,both,M
ML61,MYW15,18/12/2021,both,M
ML61,MYW20,31/12/2021,both,M
ML61,MYW17,6/1/2022,both,M
ML62,MYW71,12/10/2021,both,M
ML62,MYW68,27/10/2021,both,M
ML62,MYW68,3/11/2021,both,M
ML63,MYW47,2/10/2021,both,M
ML63,MYW47,19/10/2021,both,M
ML63,MYW36,16/11/2021,both,M
ML63,MYW46,26/11/2021,both,M
ML63,MYW32,29/11/2021,both,M
ML63,MYW35,2/12/2021,both,M
ML63,MYW46,7/12/2021,both,M
ML63,MYW45,7/12/2021,both,M
ML63,MYW32,8/12/2021,both,M
ML63,MYW33,11/12/2021,both,M
ML63,MYW35,14/12/2021,both,M
ML63,MYW45,30/12/2021,both,M
ML68,MYW74,4/10/2021,both,M
ML68,MYW74,8/10/2021,both,M
ML68,MYW62,9/10/2021,both,M
ML68,MYW75,10/10/2021,both,M
ML68,MYW63,16/10/2021,both,M
ML68,MYW74,26/10/2021,both,M
ML68,MYW75,26/10/2021,both,M
ML68,MYW75,30/10/2021,both,M
ML68,MYW74,1/11/2021,both,M
ML68,MYW75,2/11/2021,both,M
ML71,MYW06,6/12/2021,both,M
ML71,MYW06,8/12/2021,both,M
ML71,MYW18,17/12/2021,both,M
ML71,MYW18,26/12/2021,both,M
ML71,MYW18,29/12/2021,both,M
ML71,MYW19,30/12/2021,both,M
ML71,MYW17,31/12/2021,both,M
ML72,MYW60,23/9/2021,both,M
ML8,MYW53,25/9/2021,both,M
ML8,MYW53,26/9/2021,both,M
ML8,MYW58,26/9/2021,both,M
ML8,MYW62,27/9/2021,both,M
ML8,MYW53,3/10/2021,both,M
ML8,MYW58,4/10/2021,both,M
ML8,MYW53,5/10/2021,both,M
ML8,MYW55,5/10/2021,both,M
ML8,MYW54,10/10/2021,both,M
ML8,MYW53,11/10/2021,both,M
ML8,MYW53,14/10/2021,both,M
ML8,MYW53,15/10/2021,both,M
ML8,MYW55,15/10/2021,both,M
ML8,MYW58,18/10/2021,both,M
ML8,MYW53,22/10/2021,both,M
ML8,MYW59,26/10/2021,both,M
ML8,MYW55,27/10/2021,both,M
ML8,MYW53,31/10/2021,both,M
ML8,MYW55,31/10/2021,both,M
ML8,MYW53,1/11/2021,both,M
ML8,MYW53,8/11/2021,both,M
ML91,MYW53,18/10/2021,both,M
ML91,MYW47,19/10/2021,both,M
ML91,MYW01,21/11/2021,both,M
ML91,MYW02,22/11/2021,both,M
ML91,MYW36,29/11/2021,both,M
ML91,MYW42,9/12/2021,both,M
ML97,MYW75,28/9/2021,both,M
ML97,MYW76,28/9/2021,both,M
ML97,MYW61,30/9/2021,both,M
ML97,MYW75,6/10/2021,both,M
ML97,MYW61,12/10/2021,both,M
ML97,MYW75,12/10/2021,both,M
ML97,MYW76,12/10/2021,both,M
ML97,MYW60,14/10/2021,both,M
ML97,MYW61,23/10/2021,both,M
ML97,MYW60,27/10/2021,both,M
ML97,MYW76,1/11/2021,both,M
ML97,MYW60,3/11/2021,both,M
ML97,MYW60,6/11/2021,both,M
ML99,MYW68,25/9/2021,both,M
ML99,MYW95,30/9/2021,both,M
ML99,MYW88,8/10/2021,both,M
ML99,MYW88,29/10/2021,both,M
UL103,MYW26,18/11/2021,both,U
UL103,MYW19,25/11/2021,both,U
UL105,MYW75,30/10/2021,right,U
UL107,MYW68,9/10/2021,left,U
UL107,MYW68,4/11/2021,left,U
UL109,MYW58,3/10/2021,left,U
UL111,MYW24,13/12/2021,right,U
UL112,MYW24,13/12/2021,right,U
UL113,MYW38,29/11/2021,right,U
UL113,MYW38,2/12/2021,right,U
UL113,MYW37,8/1/2022,right,U
UL113,MYW31,9/1/2022,right,U
UL114,MYW37,3/12/2021,left,U
UL114,MYW37,8/12/2021,left,U
UL114,MYW37,22/12/2021,left,U
UL114,MYW37,6/1/2022,left,U
UL115,MYW37,6/1/2022,left,U
UL92,MYW59,1/10/2021,both,U
UL92,MYW59,4/10/2021,both,U
UL92,MYW58,15/10/2021,both,U
UL92,MYW53,5/11/2021,both,U
UL93,MYW67,22/9/2021,both,U
UL94,MYW67,22/9/2021,both,U
UL94,MYW68,9/10/2021,both,U
UL94,MYW68,4/11/2021,both,U
UL95,MYW67,23/9/2021,both,U
UL95,MYW68,24/9/2021,both,U
UL95,MYW67,25/9/2021,both,U
UL95,MYW70,30/9/2021,both,U
UL95,MYW70,12/10/2021,both,U
UL95,MYW70,28/10/2021,both,U
UL95,MYW73,6/11/2021,both,U
UL96,MYW73,26/9/2021,both,U
UL96,MYW80,10/10/2021,both,U
UL96,MYW82,21/10/2021,both,U
